workload,workload_kind,mode,do_sort,use_morton,block_size,metrics_block_size,run,cycles,parse_ms,exec_ms,ms_per_cycle,total_ms,parse_allocs,exec_allocs,final_count,pre_hot,pre_warm,pre_cold,pre_free,pre_mean_edge_dist,pre_p95_edge_dist,pre_block_local_pct,post_hot,post_warm,post_cold,post_free,post_mean_edge_dist,post_p95_edge_dist,post_block_local_pct
arena_dense,arena,bsp-nosort,False,False,0,256,1,3,0.0,0.7096959998307284,0.23656533327690946,0.7096959998307284,0,7221,31221,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4191,0,27028,34317,9882.60611449072,22877.0,0.006551240056153486
arena_dense,arena,bsp-nosort,False,False,0,256,2,3,0.0,0.6070720010029618,0.20235733366765393,0.6070720010029618,0,7221,31221,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4191,0,27028,34317,9882.60611449072,22877.0,0.006551240056153486
arena_dense,arena,bsp-morton,True,True,0,256,0,3,0.0,6.527921999804676,2.1759739999348917,6.527921999804676,0,7221,31221,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4191,0,27030,34315,11263.121416315707,27051.6,0.007050382155669942
arena_dense,arena,bsp-morton,True,True,0,256,1,3,0.0,5.433783000626136,1.811261000208712,5.433783000626136,0,7221,31221,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4191,0,27030,34315,11263.121416315707,27051.6,0.007050382155669942
arena_dense,arena,bsp-morton,True,True,0,256,2,3,0.0,6.226751000212971,2.075583666737657,6.226751000212971,0,7221,31221,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4191,0,27030,34315,11263.121416315707,27051.6,0.007050382155669942
arena_dense,arena,bsp-block256,True,False,256,256,0,3,0.0,30.232446000809432,10.07748200026981,30.232446000809432,0,7218,31218,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4190,0,27027,34319,9888.681257995071,22880.5,0.0065520576581073915
arena_dense,arena,bsp-block256,True,False,256,256,1,3,0.0,30.943560999730835,10.314520333243612,30.943560999730835,0,7218,31218,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4190,0,27027,34319,9888.681257995071,22880.5,0.0065520576581073915
arena_dense,arena,bsp-block256,True,False,256,256,2,3,0.0,29.376702001172816,9.79223400039094,29.376702001172816,0,7218,31218,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4190,0,27027,34319,9888.681257995071,22880.5,0.0065520576581073915
arena_dense,arena,bsp-morton-block256,True,True,256,256,0,3,0.0,30.519138999807183,10.173046333269061,30.519138999807183,0,7218,31218,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4190,0,27027,34319,9888.681257995071,22880.5,0.0065520576581073915
arena_dense,arena,bsp-morton-block256,True,True,256,256,1,3,0.0,33.91280600044411,11.304268666814702,33.91280600044411,0,7218,31218,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4190,0,27027,34319,9888.681257995071,22880.5,0.0065520576581073915
arena_dense,arena,bsp-morton-block256,True,True,256,256,2,3,0.0,29.933144000096945,9.977714666698981,29.933144000096945,0,7218,31218,10815,0,13184,41537,7973.345923140947,18470.9,0.011078265361765635,4190,0,27027,34319,9888.681257995071,22880.5,0.0065520576581073915
arena_sparse,arena,bsp-rank,True,False,0,256,0,3,0.0,4.885144000581931,1.6283813335273105,4.885144000581931,0,1429,13429,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,712,0,12717,52107,4081.488450787112,10076.099999999991,0.017949095189053993
arena_sparse,arena,bsp-rank,True,False,0,256,1,3,0.0,4.952020999553497,1.6506736665178323,4.952020999553497,0,1429,13429,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,712,0,12717,52107,4081.488450787112,10076.099999999991,0.017949095189053993
arena_sparse,arena,bsp-rank,True,False,0,256,2,3,0.0,5.6926549987110775,1.8975516662370258,5.6926549987110775,0,1429,13429,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,712,0,12717,52107,4081.488450787112,10076.099999999991,0.017949095189053993
arena_sparse,arena,bsp-nosort,False,False,0,256,0,3,0.0,0.6193909994181013,0.20646366647270042,0.6193909994181013,0,1430,13430,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12717,52108,4387.187849367461,10176.5,0.01882906737275669
arena_sparse,arena,bsp-nosort,False,False,0,256,1,3,0.0,0.9144819996436127,0.30482733321453753,0.9144819996436127,0,1430,13430,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12717,52108,4387.187849367461,10176.5,0.01882906737275669
arena_sparse,arena,bsp-nosort,False,False,0,256,2,3,0.0,0.8086319994617952,0.2695439998205984,0.8086319994617952,0,1430,13430,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12717,52108,4387.187849367461,10176.5,0.01882906737275669
arena_sparse,arena,bsp-morton,True,True,0,256,0,3,0.0,6.517175999761093,2.1723919999203645,6.517175999761093,0,1429,13429,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12718,52107,4567.69606472968,10724.0,0.01699154100772343
arena_sparse,arena,bsp-morton,True,True,0,256,1,3,0.0,5.841131000124733,1.9470436667082442,5.841131000124733,0,1429,13429,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12718,52107,4567.69606472968,10724.0,0.01699154100772343
arena_sparse,arena,bsp-morton,True,True,0,256,2,3,0.0,5.45210200107249,1.8173673336908298,5.45210200107249,0,1429,13429,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12718,52107,4567.69606472968,10724.0,0.01699154100772343
arena_sparse,arena,bsp-block256,True,False,256,256,0,3,0.0,33.16945500046131,11.05648500015377,33.16945500046131,0,1427,13427,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12715,52110,4393.6920020601865,10214.0,0.01883599440806416
arena_sparse,arena,bsp-block256,True,False,256,256,1,3,0.0,31.365163000373286,10.455054333457761,31.365163000373286,0,1427,13427,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12715,52110,4393.6920020601865,10214.0,0.01883599440806416
arena_sparse,arena,bsp-block256,True,False,256,256,2,3,0.0,29.895137000494287,9.96504566683143,29.895137000494287,0,1427,13427,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12715,52110,4393.6920020601865,10214.0,0.01883599440806416
arena_sparse,arena,bsp-morton-block256,True,True,256,256,0,3,0.0,27.42745300020033,9.14248433340011,27.42745300020033,0,1427,13427,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12715,52110,4393.6920020601865,10214.0,0.01883599440806416
arena_sparse,arena,bsp-morton-block256,True,True,256,256,1,3,0.0,28.725681999276276,9.575227333092093,28.725681999276276,0,1427,13427,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12715,52110,4393.6920020601865,10214.0,0.01883599440806416
arena_sparse,arena,bsp-morton-block256,True,True,256,256,2,3,0.0,27.9039710003417,9.301323666780567,27.9039710003417,0,1427,13427,3628,0,8371,53537,3978.0020413370758,9266.0,0.022646083184485837,711,0,12715,52110,4393.6920020601865,10214.0,0.01883599440806416
arena_shatter,arena,bsp-rank,True,False,0,256,0,3,0.0,4.83257800078718,1.6108593335957266,4.83257800078718,0,11501,31501,11030,0,8969,45537,6703.593569794788,15482.0,0.012499597306787796,6794,0,24707,34035,10795.31778425656,25861.0,0.00473017195216279
arena_shatter,arena,bsp-rank,True,False,0,256,1,3,0.0,4.639093000150751,1.5463643333835837,4.639093000150751,0,11501,31501,11030,0,8969,45537,6703.593569794788,15482.0,0.012499597306787796,6794,0,24707,34035,10795.31778425656,25861.0,0.00473017195216279
arena_shatter,arena,bsp-rank,True,False,0,256,2,3,0.0,5.915063999054837,1.9716879996849457,5.915063999054837,0,11501,31501,11030,0,8969,45537,6703.593569794788,15482.0,0.012499597306787796,6794,0,24707,34035,10795.31778425656,25861.0,0.00473017195216279
arena_shatter,arena,bsp-nosort,False,False,0,256,0,3,0.0,0.7131680013117148,0.2377226671039049,0.7131680013117148,0,11502,31502,11030,0,8969,45537,6703.593569794788,15482.0,0.012499597306787796,6794,0,24707,34035,10326.725628439684,23223.3,0.004730031236055332
arena_shatter,arena,bsp-nosort,False,False,0,256,1,3,0.0,0.8186530012608273,0.2728843337536091,0.8186530012608273,0,11502,31502,11030,0,8969,45537,6703.593569794788,15482.0,0.012499597306787796,6794,0,24707,34035,10326.725628439684,23223.3,0.004730031236055332
arena_shatter,arena,bsp-nosort,False,False,0,256,2,3,0.0,0.7417550004902296,0.24725166683007652,0.7417550004902296,0,11502,31502,11030,0,8969,45537,6703.593569794788,15482.0,0.012499597306787796,6794,0,24707,34035,10326.725628439684,23223.3,0.004730031236055332
